Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
aceh selatan - bakongan,2,3.85,13.18,7.16,0.00,68.00,7.47,100.00,8.70,19.17,50.13,254,
aceh selatan - kluet utara,6,0.00,13.18,13.55,0.00,34.24,8.83,40.02,18.16,4.00,80.52,47,
aceh selatan - kluet selatan,6,0.00,13.18,7.13,0.00,53.56,8.65,100.00,7.98,1.84,78.96,68,
aceh selatan - labuhan haji,6,0.01,13.18,6.32,0.00,10.28,8.82,57.11,11.22,1.61,87.82,8,
aceh selatan - meukek,6,0.01,13.18,22.07,0.00,38.40,9.16,100.00,9.23,2.08,79.32,61,
aceh selatan - samadua,6,0.01,13.18,9.72,0.00,43.23,10.57,100.00,8.09,21.84,80.42,48,
aceh selatan - sawang,5,0.01,13.18,13.85,0.00,36.79,9.76,100.00,16.92,6.92,78.01,76,
aceh selatan - tapaktuan,3,5.00,13.18,35.53,0.00,18.68,11.12,72.99,7.19,5.13,54.85,252,
aceh selatan - trumon,6,0.74,13.18,9.09,0.00,26.70,8.68,100.00,6.07,7.01,79.20,63,
aceh selatan - pasi raja,5,0.02,13.18,9.72,0.00,57.30,8.13,76.65,9.92,6.46,77.31,80,
aceh selatan - labuhan haji timur,6,0.01,13.18,7.03,0.00,26.98,9.05,100.00,7.37,2.86,84.17,19,
aceh selatan - labuhan haji barat,5,0.01,13.18,8.28,0.00,68.74,8.11,75.80,19.71,14.83,70.94,156,
aceh selatan - kluet tengah,6,0.01,13.18,6.55,0.00,0.00,8.58,100.00,12.64,49.31,81.89,35,
aceh selatan - kluet timur,5,0.00,13.18,14.47,0.00,64.51,8.93,100.00,6.41,2.82,76.76,83,
aceh selatan - bakongan timur,6,0.01,13.18,9.89,0.00,53.03,8.67,100.00,7.07,5.26,78.63,72,
aceh selatan - trumon timur,5,0.43,13.18,10.20,0.00,55.03,8.89,100.00,7.02,4.96,75.99,99,
aceh selatan - kota bahagia,5,0.01,13.18,11.83,0.00,69.07,8.15,100.00,11.07,25.32,71.49,150,
aceh selatan - trumon tengah,4,1.19,13.18,17.43,0.00,81.87,8.53,100.00,6.76,0.00,65.84,201,
aceh tenggara - lawe alas,6,0.00,13.41,10.25,0.00,21.87,10.26,100.00,7.05,6.87,85.18,15,
aceh tenggara - lawe sigala-gala,6,0.00,13.41,20.88,0.00,26.26,9.53,84.17,11.02,5.11,81.44,38,
aceh tenggara - bambel,6,0.00,13.41,15.79,0.00,27.01,9.49,20.80,18.81,20.98,80.80,43,
aceh tenggara - babussalam,6,0.01,13.41,21.24,0.00,0.00,11.74,6.32,7.65,1.41,94.13,1,
aceh tenggara - badar,6,0.01,13.41,21.14,0.00,32.82,10.26,96.06,10.57,7.06,80.36,51,
aceh tenggara - babul makmur,5,0.01,13.41,13.95,0.00,67.24,9.13,92.77,8.65,12.53,74.65,113,
aceh tenggara - darul hasanah,5,0.01,13.41,12.06,0.00,60.98,8.68,100.00,14.99,20.31,71.88,144,
aceh tenggara - lawe bulan,6,0.01,13.41,13.98,0.00,49.08,10.07,48.87,10.91,28.44,78.75,70,
aceh tenggara - bukit tusam,6,0.00,13.41,15.77,0.00,37.58,9.52,44.31,11.41,43.01,78.54,73,
aceh tenggara - semadam,6,0.00,13.41,13.84,0.00,13.84,9.27,69.32,9.10,20.50,84.47,17,
aceh tenggara - babul rahmah,6,0.00,13.41,5.83,0.00,24.58,8.41,100.00,13.71,12.46,80.20,54,
aceh tenggara - ketambe,4,0.11,13.41,13.23,0.00,60.04,9.02,100.00,16.62,43.12,68.79,176,
aceh tenggara - deleng pokhkisen,4,0.00,13.41,25.12,0.00,58.16,8.86,100.00,17.92,24.02,69.10,171,
aceh tenggara - lawe sumur,5,0.00,13.41,15.99,0.00,75.56,9.53,52.69,7.08,18.31,75.53,106,
aceh tenggara - tanoh alas,6,0.00,13.41,13.96,0.00,16.11,7.57,67.89,18.74,17.47,78.76,69,
aceh tenggara - leuser,5,0.12,13.41,11.43,0.00,85.83,9.10,100.00,6.62,13.45,71.40,152,
aceh timur - darul aman,5,0.00,14.45,17.50,0.00,49.29,7.79,100.00,9.05,15.21,72.82,137,
aceh timur - julok,5,0.01,14.45,15.60,0.00,17.55,8.44,100.00,11.81,21.46,77.65,78,
aceh timur - idi rayeuk,6,0.02,14.45,11.23,0.00,15.09,8.97,58.53,9.43,10.09,83.52,25,
aceh timur - birem bayeun,5,0.02,14.45,17.07,0.00,16.11,9.02,100.00,12.35,16.57,78.52,74,
aceh timur - serbajadi,4,0.00,14.45,12.98,0.00,56.77,7.47,100.00,14.30,30.55,68.31,180,
aceh timur - nurussalam,5,0.00,14.45,17.55,0.00,55.13,9.04,100.00,9.68,14.11,73.01,132,
aceh timur - peureulak,5,0.00,14.45,23.18,0.00,39.62,9.70,100.00,8.21,12.01,76.36,91,
